gene	region_id	reference_region	comparison_type	observed_counts_per_10000	reference_counts_per_10000	log2_count_ratio	detection_fraction_difference	observed_fraction_q20	reference_fraction_q20	q20_difference	abundance_depletion	quality_degradation	insufficient_quality	evidence_tier	candidate_status	exact_cycle_status	threshold_abs_log2_ratio	threshold_abs_q20_delta	section_candidate_flag	section_evidence_status	gene_set
Sostdc1	Region_2	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	0.901264758812875	1.09273230293303	-0.184774239262984	-0.0075172289591186	0.520020273694881	0.678926441351889	-0.158906167657008	FALSE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	Q20_LOSS_ONLY	NA
Upk1a	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	0.431546368697309	0.962373364100446	-0.650612210547152	-0.0114908986185599	0.323659305993691	0.710272536687631	-0.38661323069394	TRUE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_AND_Q20_LOSS	NA
Stmn1	Region_1	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	8.1433575168589	20.3083607657801	-1.26749957535472	-0.182909264207259	0.991298794603656	0.971421873168445	0.019876921435211	TRUE	FALSE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_ONLY	NA
Rbp1	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	1.8267577217314	4.2141380456708	-1.01867301104729	-0.0419345159473967	0.802888955762865	0.810702398224802	-0.00781344246193694	TRUE	FALSE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_ONLY	NA
Rbp2	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	0.224001822734832	0.84643200375626	-0.895076139519538	-0.0134321971898199	0.418918918918919	0.660579064587973	-0.241660145669054	TRUE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_AND_Q20_LOSS	NA
Slc14a2	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	0.315431138136804	1.77035849188765	-1.47728516460886	-0.0308316415683766	0.312753858651503	0.614059405940594	-0.301305547289091	TRUE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_AND_Q20_LOSS	NA
Tubb3	Region_1	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	1.69281160744275	2.67025568253838	-0.531817328989548	-0.0331677605650739	0.881510813280536	0.657370058776075	0.224140754504461	TRUE	FALSE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_ONLY	NA
Tagln	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	6.19799329109969	10.7639238064618	-0.749908644059812	-0.0296778282961979	0.671130590049509	0.734502958933588	-0.0633723688840789	TRUE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_AND_Q20_LOSS	NA
Reg3g	Region_1	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	0.41325712622943	1.02785319973525	-0.74241292076787	-0.0164777808850026	0.924031007751938	0.892021022455805	0.0320099852961331	TRUE	FALSE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_ONLY	NA
Ucma	Region_2	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	1.295507845823	1.31199964244405	-0.0131907135471616	-0.0084131211529674	0.638116591928251	0.760013240648792	-0.121896648720541	FALSE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	Q20_LOSS_ONLY	NA
Tm4sf20	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	0.46080374962594	1.78177240819096	-1.24784121303051	-0.0277984086706843	0.493617021276596	0.703493647912886	-0.20987662663629	TRUE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_AND_Q20_LOSS	NA
Vsx2	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	0.273373653051897	1.35825604009432	-1.26471177609414	-0.0227864722451212	0.363841807909605	0.719768504416692	-0.355926696507087	TRUE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_AND_Q20_LOSS	NA
